id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
GUOdmtII/,GUOdmtII67,67,72,Foul by Isimat Mirin (Valenciennes).,3,,2,Valenciennes,Caen,isimat mirin,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII68,68,74,Foul by Damien Marcq (Caen).,3,,1,Caen,Valenciennes,damien marcq,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII69,69,74,Benjamin Angoua (Valenciennes) wins a free kick in the attacking half.,8,,2,Valenciennes,Caen,benjamin angoua,,,,,,0,1.0,,0,,0
GUOdmtII/,GUOdmtII70,70,75,Damien Marcq (Caen) is shown the yellow card for a bad foul.,4,,1,Caen,Valenciennes,damien marcq,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII71,71,77,Nicolas Seube (Caen) wins a free kick in the defensive half.,8,,1,Caen,Valenciennes,nicolas seube,,,,,,0,2.0,,0,,0
GUOdmtII/,GUOdmtII72,72,77,Foul by Carlos SA¡nchez (Valenciennes).,3,,2,Valenciennes,Caen,carlos sanchez,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII73,73,81,"Substitution, Valenciennes. Mamadou Samassa replaces Renaud Cohade.",7,,2,Valenciennes,Caen,,,mamadou samassa,renaud cohade,,,0,,,0,,0
GUOdmtII/,GUOdmtII74,74,81,"Substitution, Caen. JA©rA©my Sorbon replaces Jerry Van Dam.",7,,1,Caen,Valenciennes,,,jeremy sorbon,jerry van dam,,,0,,,0,,0
GUOdmtII/,GUOdmtII75,75,83,JA©rA©my Sorbon (Caen) wins a free kick on the right wing.,8,,1,Caen,Valenciennes,jeremy sorbon,,,,,,0,5.0,,0,,0
GUOdmtII/,GUOdmtII76,76,83,Nicolas Seube (Caen) wins a free kick on the right wing.,8,,1,Caen,Valenciennes,nicolas seube,,,,,,0,5.0,,0,,0
GUOdmtII/,GUOdmtII77,77,83,Foul by GaA«l Danic (Valenciennes).,3,,2,Valenciennes,Caen,gael danic,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII78,78,84,Foul by Gregory Leca (Caen).,3,,1,Caen,Valenciennes,gregory leca,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII79,79,84,Mamadou Samassa (Valenciennes) wins a free kick in the attacking half.,8,,2,Valenciennes,Caen,mamadou samassa,,,,,,0,1.0,,0,,0
GUOdmtII/,GUOdmtII80,80,87,Attempt blocked. FrA©dA©ric Bulot (Caen) left footed shot from outside the box is blocked.,1,,1,Caen,Valenciennes,frederic bulot,,,,2.0,3.0,0,15.0,2.0,0,1.0,0
GUOdmtII/,GUOdmtII81,81,87,"Corner,  Caen. Conceded by David Ducourtioux.",2,,1,Caen,Valenciennes,david ducourtioux,david ducourtioux,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII82,82,88,"Corner,  Valenciennes. Conceded by Damien Marcq.",2,,2,Valenciennes,Caen,damien marcq,damien marcq,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII83,83,88,Attempt blocked. Foued Kadir (Valenciennes) left footed shot from the right side of the box is blocked.,1,,2,Valenciennes,Caen,foued kadir,,,,2.0,3.0,0,11.0,2.0,0,1.0,0
GUOdmtII/,GUOdmtII84,84,88,"Corner,  Valenciennes. Conceded by Alexandre Raineau.",2,,2,Valenciennes,Caen,alexandre raineau,alexandre raineau,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII85,85,88,Attempt saved. RA©mi Gomis (Valenciennes) header from the centre of the box is saved in the top centre of the goal. Assisted by Foued Kadir with a cross.,1,12.0,2,Valenciennes,Caen,remi gomis,foued kadir,,,11.0,1.0,0,3.0,3.0,2,1.0,0
GUOdmtII/,GUOdmtII86,86,88,"Corner,  Valenciennes. Conceded by Gregory Leca.",2,,2,Valenciennes,Caen,gregory leca,gregory leca,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII87,87,90,Attempt missed. Romain Hamouma (Caen) right footed shot from outside the box misses to the left. Assisted by Damien Marcq.,1,12.0,1,Caen,Valenciennes,romain hamouma,damien marcq,,,8.0,2.0,0,15.0,1.0,1,1.0,0
GUOdmtII/,GUOdmtII88,88,90,Foul by Pierre-Alain Frau (Caen).,3,,1,Caen,Valenciennes,pierrealain frau,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII89,89,90,GrA©gory Pujol (Valenciennes) wins a free kick in the defensive half.,8,,2,Valenciennes,Caen,gregory pujol,,,,,,0,2.0,,0,,0
GUOdmtII/,GUOdmtII90,90,90,Pierre-Alain Frau (Caen) is shown the yellow card for a bad foul.,4,,1,Caen,Valenciennes,pierrealain frau,,,,,,0,,,0,,0
lOpzwMkp/,lOpzwMkp1,1,2,Maik Franz (Hertha Berlin) wins a free kick in the defensive half.,8,,1,Hertha Berlin,Nurnberg,maik franz,,,,,,0,2.0,,0,,0
lOpzwMkp/,lOpzwMkp2,2,2,Foul by Tunay Torun (Hertha Berlin).,3,,1,Hertha Berlin,Nurnberg,tunay torun,,,,,,0,,,0,,0
lOpzwMkp/,lOpzwMkp3,3,2,Foul by Tomas Pekhart (FC Nurnberg).,3,,2,Nurnberg,Hertha Berlin,tomas pekhart,,,,,,0,,,0,,0
lOpzwMkp/,lOpzwMkp4,4,2,Timothy Chandler (FC Nurnberg) wins a free kick in the defensive half.,8,,2,Nurnberg,Hertha Berlin,timothy chandler,,,,,,0,2.0,,0,,0
lOpzwMkp/,lOpzwMkp5,5,3,Pierre-Michel Lasogga (Hertha Berlin) wins a free kick in the defensive half.,8,,1,Hertha Berlin,Nurnberg,pierremichel lasogga,,,,,,0,2.0,,0,,0
lOpzwMkp/,lOpzwMkp6,6,3,Foul by Timmy Simons (FC Nurnberg).,3,,2,Nurnberg,Hertha Berlin,timmy simons,,,,,,0,,,0,,0
lOpzwMkp/,lOpzwMkp7,7,6,Foul by Andre Mijatovic (Hertha Berlin).,3,,1,Hertha Berlin,Nurnberg,andre mijatovic,,,,,,0,,,0,,0
